,Concejo,Parroquia,Tipo,Altitud,Población,Hombres,Mujeres,Viviendas,Latitud,Longitud,Nombre
175,Quirós,Cienfuegos,Lugar,840m,22,13,9,84,22.1457501,-80.4526242,CIENFUEGOS
176,Somiedo,Clavillas,Lugar,730m,13,7,6,13,42.2409394,-6.9033636,CLAVILLAS
177,Grado,Coalla,Casería,250m,13,8,5,6,13.407188,-0.136292,COALLA
178,Coaña,Cartavio,Lugar,100m,226,107,119,105,43.512625799999995,-6.761010561610359,COAÑA
179,Caso,Coballes,Aldea,550m,90,53,37,67,43.1903356,-5.3851726,COBALLES
180,Parres,Cofiño,Aldea,391m,55,28,27,63,43.4127873,-5.2277406,COFIÑO
181,Lena,Villallana,Casería,360m,0,0,0,0,43.3266319,-5.240286,COLLADA
182,Grado,Rodiles,Casería,220m,0,0,0,0,40.0573294,-5.7209445,COLLADO
183,Ribadesella,Collera,Lugar,79m,158,79,79,125,43.4488987,-5.0427531,COLLERA
184,Ribadedeva,Colombres,Lugar,40m,215,96,119,127,43.3749259,-4.5409351,COLOMBRES
185,Lena,Columbiello,Lugar,380m,73,36,37,36,43.1419245,-5.8187139,COLUMBIELLO
186,Colunga,Colunga,Villa,21m,1132,554,578,901,43.4851194,-5.2706728,COLUNGA
187,Cangas de Onís,Con,Lugar,190m,111,61,50,70,-23.6350111,-46.641295,CON
188,Laviana,Condado,Lugar,440m,2,1,1,12,-0.1032661,-78.5045937,CONDADO
189,Langreo,Lada,Aldea,500m,7,4,3,2,43.3030478,-5.7302841,CONFORCOS
190,Lena,Congostinas,Lugar,675m,20,10,10,24,43.0960913,-5.7672075,CONGOSTINAS
191,Pravia,Cordovero,Lugar,180m,24,11,13,30,43.4715729,-6.2151372,CORDOVERO
192,Somiedo,Corés,Lugar,850m,30,17,13,26,43.27739665,-8.851960758918032,CORES
193,Belmonte de Miranda,Belmonte,Aldea,200m,45,24,21,16,43.4513456,-6.1363882,CORIAS
194,Belmonte de Miranda,Belmonte,Aldea,200m,45,24,21,16,43.4513456,-6.1363882,CORIAS
195,Lena,Campomanes,Lugar,400m,14,7,7,18,42.2602812,1.5385735,CORNELLANA
196,Grado,"Grado, Santa María de",Casería,120m,3,1,2,5,43.2863081,-5.6837939,CORROS
197,Villaviciosa,Coru,Casería,280m,0,0,0,1,43.4550156,-5.4065123,CORU
198,Oviedo,Box,Casería,420m,0,0,0,1,43.416296,-7.1382982,COTO
199,Cangas de Onís,Covadonga,Lugar,257m,62,28,34,67,22.2694427,-80.8682197,COVADONGA
200,Piloña,Coya,Casería,370m,8,4,4,4,-13.3863918,-71.8985883,COYA
201,Bimenes,Suares,Casería,540m,13,8,5,7,42.3176289,-3.2482146,CRUCES
202,Parres,Cuadroveña,Villa,40m,2575,1255,1320,1230,43.3833387,-5.203756,CUADROVEÑA (LES ARRIONDES)
203,Cudillero,Ballota,Lugar,118m,131,63,68,152,43.54335745,-6.1936313237885,CUDILLERO
204,Llanes,Cue,Lugar,57m,282,133,149,187,23.0131338,-80.8328748,CUE
205,Nava,Cuenya,Aldea,280m,141,71,70,91,-14.2704377,-74.8593508,CUENYA
206,Cangas del Narcea,Cueras,Casería,550m,13,8,5,6,37.5296063,-1.4382435,CUERAS
207,Aller,Cuérigo,Lugar,520m,55,24,31,72,43.1204045,-5.5686562,CUERIGO
208,Candamo,Cuero,Lugar,180m,160,80,80,71,29.0938036,-97.2900564,CUERO
209,Belmonte de Miranda,Cuevas,Aldea,520m,36,17,19,36,36.9124139,-2.2859961,CUEVAS
210,Peñamellera Baja,Cuñaba,Aldea,300m,12,7,5,9,43.2894371,-4.6358688,CUÑABA
211,Degaña,Cerredo,Lugar,1250m,0,0,0,0,42.940686,-6.5712491,DEGAÑA
212,Gijón,Deva,Casería,0m,20,10,10,9,45.8555113,22.91768615763211,DEVA
213,Boal,Doiras,Aldea,660m,6,2,4,4,43.3935427,-6.8279332,DOIRAS
214,Tineo,"Baradal, El",Aldea,650m,16,10,6,12,43.3242809,-6.3625272,EL BARADAL
215,Cangas de Onís,Zardón,Aldea,400m,0,0,0,0,42.5490885,-2.2420409,EL BUSTO
216,Oviedo,Box,Casería,420m,0,0,0,1,18.0565231,-66.7292611,EL COTO
217,Carreño,Perlora,Casería,40m,46,20,26,19,42.9523178,-4.5297267,EL CUTO
218,Cabranes,Fresnedo,Aldea,350m,16,8,8,18,36.7295295,-119.70886126075588,EL FRESNO
219,Carreño,Logrezana,Casería,120m,13,8,5,5,40.7795239,-1.5708608,EL PEDREGAL
220,Corvera de Asturias,Molleda,Aldea,140m,95,60,35,29,41.5767473,-6.1212504,EL PINO
221,Caso,Tarna,Lugar,1490m,7,3,4,16,8.1926164,-81.78162140699564,EL PUERTO
222,Nava,"Remedio, El",Casería,290m,29,15,14,9,-4.116861,-43.39766,EL REMEDIO
223,Tineo,"Rodical, El",Casería,350m,0,0,0,2,43.3118449,-6.4152916,EL RODICAL
224,Bimenes,San Julián,Casería,0m,12,6,6,5,36.9248213,-3.5856242877423936,EL VALLE
225,Bimenes,San Julián,Casería,0m,12,6,6,5,36.9248213,-3.5856242877423936,EL VALLE
226,Somiedo,Éndriga,Lugar,1000m,43,24,19,20,43.0927038,-6.1569462,ENDRIGA
227,Laviana,Entralgo,Lugar,600m,1,1,0,0,43.1632032,-6.8651766,ENTRALGO
228,Cangas del Narcea,Entreviñas,Casería,0m,14,7,7,3,42.1646758,-8.0284842,ENTREVIÑAS
229,Cangas del Narcea,Entreviñas,Casería,0m,14,7,7,3,42.1646758,-8.0284842,ENTREVIÑAS
230,Pravia,Escoredo,Casería,360m,5,2,3,4,43.5039293,-6.142357,ESCOREDO
231,Piloña,Espinaredo,Casería,280m,0,0,0,0,43.4795314,-7.9351869,ESPINAREDO
232,Belmonte de Miranda,Belmonte,Aldea,690m,11,6,5,6,46.1922976,11.1618628,FAEDO
233,Colunga,Libardón,Lugar,402m,28,15,13,38,43.8424173,13.0146632,FANO
234,Tineo,Fastias,Aldea,630m,58,31,27,31,43.404794,-6.4474622,FASTIAS
235,Oviedo,Nora,Aldea,210m,19,10,9,12,43.3609975,-5.9532701,FELECHES
236,Lena,Felgueras,Casería,320m,0,0,0,0,43.1257384,-5.7967108,FELGUERAS
237,Candamo,Fenolleda,Aldea,140m,17,10,7,10,42.1999853,2.4943186,FENOLLEDA
238,Candamo,Llamero,Aldea,290m,64,27,37,23,43.3366718,-5.3815526,FERREROS
239,Llanera,Ferroñes,Lugar,0m,113,54,59,41,43.4765011,-5.8671397,FERROÑES
240,Candamo,Murias,Aldea,140m,26,11,15,12,43.4187,-6.0534125,FIGAREDO
241,Castropol,Figueras,Villa,20m,597,280,317,410,42.2666314,2.9638434,FIGUERAS
242,Parres,Fíos,Casería,210m,4,2,2,5,43.4000512,-5.2339037,FIOS
243,Coaña,Folgueras,Casería,355m,8,2,6,12,43.4658053,-6.1999476,FOLGUERAS
244,Coaña,Folgueras,Casería,355m,8,2,6,12,43.4658053,-6.1999476,FOLGUERAS
245,Pesoz,Pesoz,Aldea,380m,13,5,8,11,42.7766082,-7.553045,FRANCOS
246,Belmonte de Miranda,Belmonte,Aldea,390m,23,10,13,11,42.9933418,-3.5351576,FRESNEDO
247,Cabranes,Fresnedo,Aldea,350m,16,8,8,18,36.7295295,-119.70886126075588,FRESNO
248,Boal,Castrillón,Aldea,530m,17,8,9,9,39.9502989,-2.0206507,FUENTES
249,Cangas del Narcea,Fuentes de Corbero,Casería,840m,9,6,3,2,43.0983411,-6.456676,FUENTES DE CORBERO
250,"Regueras, Las",Valsera,Lugar,130m,80,39,41,41,41.0745293,-3.7858799,GALLEGOS
251,Cangas del Narcea,Gedrez,Aldea,1020m,37,21,16,15,43.0141209,-6.6060562,GEDREZ
252,Tineo,Genestaza,Aldea,840m,9,6,3,8,43.2091746,-6.3546272,GENESTAZA
253,Cangas del Narcea,Genestoso,Lugar,1180m,54,28,26,17,43.06506,-6.3965071,GENESTOSO
254,Grandas de Salime,Peñafuente,Lugar,700m,8,4,4,3,42.5478476,-7.0370773,GESTOSO
255,Gijón,Baldornón,Lugar,230m,67,29,38,25,43.5450394,-5.6626443,GIJON
256,Cangas del Narcea,Gillón,Casería,0m,4,2,2,1,43.0251186,-6.5512821,GILLON
257,Illano,Gío,Aldea,240m,25,12,13,31,0.5916247,121.0677657,GIO
258,Colunga,Gobiendes,Lugar,70m,49,23,26,69,43.4693828,-5.2381254,GOBIENDES
259,Salas,Godán,Aldea,241m,15,7,8,8,42.993881,0.5666488,GODAN
260,Oviedo,Godos,Lugar,140m,95,47,48,62,42.5814511,-8.7081687,GODOS
261,Grado,Báscones,Lugar,240m,26,12,14,35,42.1514362,0.226466,GRADO
262,Cabranes,Gramedo,Lugar,410m,24,12,12,26,42.1071502,-6.3610891,GRAMEDO
263,Cangas de Onís,Margolles,Aldea,25m,35,18,17,22,43.6497395,-5.8566972,GRANDA
264,Cangas de Onís,Margolles,Aldea,25m,35,18,17,22,43.6497395,-5.8566972,GRANDA
265,Grandas de Salime,Grandas de Salime,Casería,640m,2,2,0,2,43.2176587,-6.8757234,GRANDAS DE SALIME
266,Villaviciosa,Grases,Casería,40m,9,3,6,6,43.4673727,-5.4772528,GRASES
267,Candamo,Grullos,Lugar,120m,178,80,98,76,43.4342813,-6.0615193,GRULLOS
268,Somiedo,Gúa,Lugar,960m,75,40,35,39,20.9876996,-101,GUA
269,Vegadeo,Guiar,Aldea,222m,27,14,13,12,43.4212558,-7.0696993,GUIAR
270,Carreño,Guimarán,Aldea,70m,43,20,23,16,43.3061285,-8.5613434,GUIMARAN
271,Grado,Gurullés,Lugar,0m,7,4,3,3,43.3638306,-6.0395085,GURULLES
272,Gozón,Heres,Aldea,30m,50,29,21,16,43.5535071,-0.0001942,HERES
273,Illano,Herías,Aldea,310m,2,0,2,7,43.4400841,-6.6726398,HERIAS
274,Illano,Herías,Aldea,310m,2,0,2,7,43.4400841,-6.6726398,HERIAS
275,Siero,Hevia,Lugar,0m,0,0,0,0,43.3646266,-5.7177713,HEVIA
